Date,AveragePrice,TotalVolume,plu4046,plu4225,plu4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,region
2023-01-01,0.86772247,295387.07,137191.43,76127.87,781.14,81286.63,,,,conventional,Nashville
2023-01-01,1.083047902,13941.35,70.24,11072.81,0.0,2798.29,,,,organic,Nashville
2023-01-01,0.721937405,292090.0,167426.11,1728.42,1576.83,121358.63,,,,conventional,NewOrleans
2023-01-01,0.725504204,8699.87,303.33,7041.83,0.0,1354.7,,,,organic,NewOrleans
2023-01-01,1.285597134,1690099.95,120818.01,1116964.58,889.82,451409.53,,,,conventional,NewYork
2023-01-01,1.797939038,68021.32,4294.84,10562.46,0.0,53164.01,,,,organic,NewYork
2023-01-01,1.205091903,4842943.24,781327.87,2854943.02,22388.85,1184152.89,,,,conventional,Northeast
2023-01-01,1.815321632,178054.21,11281.29,25700.35,3.47,141069.1,,,,organic,Northeast
2023-01-01,1.076965428,534951.49,114457.75,356631.31,76.12,63786.3,,,,conventional,NorthernNewEngland
2023-01-01,2.289021243,9083.9,1300.38,294.61,1.36,7487.55,,,,organic,NorthernNewEngland
2023-01-01,0.924745627,565428.87,381161.36,9251.02,43.09,174973.4,,,,conventional,Orlando
2023-01-01,0.860835995,40955.41,15433.88,1127.4,0.0,24394.13,,,,organic,Orlando
2023-01-01,0.775463769,121767.19,61069.2,21595.17,8292.31,30810.5,,,,conventional,PeoriaSpringfield
2023-01-01,1.647262941,2495.03,112.87,784.16,0.0,1598.01,,,,organic,PeoriaSpringfield
2023-01-01,1.124753339,497499.97,107819.86,221298.54,7098.04,161265.22,,,,conventional,Philadelphia
2023-01-01,1.73395562,18761.14,915.17,3216.99,0.0,14628.99,,,,organic,Philadelphia
2023-01-01,0.843901071,1178532.26,459829.92,538434.24,4077.17,176190.93,,,,conventional,PhoenixTucson
2023-01-01,1.615283467,23204.2,9846.32,5598.64,0.0,7759.24,,,,organic,PhoenixTucson
2023-01-01,1.052285805,158605.17,108965.56,13555.31,29.93,36054.37,,,,conventional,Pittsburgh
2023-01-01,1.680993975,6467.58,1604.77,2.73,0.0,4860.09,,,,organic,Pittsburgh
2023-01-01,0.807460379,2035658.34,986376.04,537050.12,6305.89,505914.52,,,,conventional,Plains
2023-01-01,1.362898995,47922.58,9719.68,4152.97,0.0,34049.92,,,,organic,Plains
2023-01-01,0.915427414,727516.21,366173.31,246969.82,28039.2,86333.88,,,,conventional,Portland
2023-01-01,1.895751875,29118.9,7638.3,18506.05,1.33,2973.21,,,,organic,Portland
2023-01-01,1.501617035,56294.23,2914.4,41641.29,6.61,11731.93,,,,conventional,Providence
2023-01-01,1.775755859,2600.93,0.0,5.54,0.0,2595.39,,,,organic,Providence
2023-01-01,1.119073536,403958.12,162765.33,79068.68,527.26,161585.11,,,,conventional,RaleighGreensboro
2023-01-01,1.64902388,23809.08,559.94,2505.25,24.54,20719.35,,,,organic,RaleighGreensboro
2023-01-01,1.004842541,312937.48,141001.24,88312.95,341.63,83262.35,,,,conventional,RichmondNorfolk
2023-01-01,1.523592366,15587.1,80.46,3157.15,1.07,12348.41,,,,organic,RichmondNorfolk
2023-01-01,0.908979089,179340.84,95433.51,43476.14,483.52,39947.67,,,,conventional,Roanoke
2023-01-01,1.631510339,6280.08,55.27,2694.51,0.0,3530.3,,,,organic,Roanoke
2023-01-01,1.369058532,443214.32,212832.2,103327.83,8559.27,118495.02,,,,conventional,Sacramento
2023-01-01,1.318157109,34911.58,7066.72,1656.19,0.0,26188.67,,,,organic,Sacramento
2023-01-01,1.117188583,556707.58,296130.6,37744.05,108370.9,114462.03,,,,conventional,SanDiego
2023-01-01,2.17955304,19581.01,12284.61,954.53,0.0,6341.87,,,,organic,SanDiego
2023-01-01,1.313458618,762320.07,550154.76,82487.66,8132.81,121544.84,,,,conventional,SanFrancisco
2023-01-01,2.073744222,67042.95,23380.79,3443.73,0.0,40218.43,,,,organic,SanFrancisco
2023-01-01,1.141778038,588051.51,243088.74,250930.56,15032.26,78999.95,,,,conventional,Seattle
2023-01-01,1.879641532,70173.8,15636.19,49205.15,11.19,5321.27,,,,organic,Seattle
2023-01-01,1.011419715,531163.95,297638.73,105005.14,345.66,128146.42,,,,conventional,SouthCarolina
2023-01-01,1.268537086,30395.87,656.26,4625.89,0.0,25113.72,,,,organic,SouthCarolina
2023-01-01,0.718152986,5081084.8,2230060.76,925252.41,69649.93,1855164.91,,,,conventional,SouthCentral
2023-01-01,1.131755979,144154.3,38710.95,12117.13,0.0,93326.21,,,,organic,SouthCentral
2023-01-01,0.919384654,5387230.96,3637781.6,565260.09,1580.03,1182575.56,,,,conventional,Southeast
2023-01-01,0.971661518,280671.67,64252.26,44778.91,0.0,171640.49,,,,organic,Southeast
2023-01-01,1.015836743,81985.89,40384.48,29110.3,17.14,12473.96,,,,conventional,Spokane
2023-01-01,1.869021962,3536.63,803.57,2008.17,0.0,724.89,,,,organic,Spokane
2023-01-01,0.743567091,257873.77,192828.5,11446.91,28.62,53569.74,,,,conventional,StLouis
2023-01-01,2.179890981,6369.84,1208.28,2905.38,0.0,2256.19,,,,organic,StLouis
2023-01-01,1.087390388,74038.69,13895.16,35161.13,415.61,24547.99,,,,conventional,Syracuse
2023-01-01,1.746510967,2845.82,242.34,92.9,0.0,2510.58,,,,organic,Syracuse
2023-01-01,0.892343521,644205.27,456549.31,13849.76,159.07,173647.14,,,,conventional,Tampa
2023-01-01,1.191094179,15671.89,10992.07,1631.18,0.0,3048.64,,,,organic,Tampa
2023-01-01,0.890725265,134847.57,28183.82,64856.27,15455.47,26352.01,,,,conventional,Toledo
2023-01-01,1.69055997,2851.06,55.84,1520.37,0.0,1274.85,,,,organic,Toledo
2023-01-01,0.965414157,38415542.83,16771415.96,10689722.89,1770323.14,9182759.18,,,,conventional,TotalUS
2023-01-01,1.507442704,1495116.18,361857.2,296812.43,64.24,836382.31,,,,organic,TotalUS
2023-01-01,0.905771588,6864415.76,2830199.3,2642245.57,106567.82,1285403.08,,,,conventional,West
2023-01-01,1.638041368,267464.65,97498.69,107546.39,19.36,62400.21,,,,organic,West
2023-01-01,0.720692288,877819.27,386999.03,201724.7,11971.65,276245.72,,,,conventional,WestTexNewMexico
2023-01-01,0.950046956,39144.11,10333.91,1338.23,0.0,27471.97,,,,organic,WestTexNewMexico
2023-01-01,0.70013669,116097.8,76570.76,13803.7,20.08,25703.27,,,,conventional,Wichita
2023-01-01,1.281420714,2214.35,1381.81,2.12,0.0,830.42,,,,organic,Wichita
2023-01-09,1.096476607,123185.36,22058.54,76314.33,25.01,21389.38,,,,conventional,Albany
2023-01-09,0.933794312,769668.12,330488.26,44473.04,134.34,86145.08,,,,conventional,Atlanta
